"username","xp","time_played","kills","deaths","kill_streak","targets_destroyed","vehicles_destroyed","soldiers_healed","team_kills","distance_moved","shots_fired","throwables_thrown"
"ROBERT A. GREEN",296312,27541,53659,7878,242,755,672,377,1691,2099200,1520661,10551
"SERGEANT MUFFINS",294985,13234,26691,1351,295,536,431,228,889,1173500,372504,3236
"JAY DADDY",292245,10310,34146,3020,445,242,126,140,343,836200,459448,2085
"1LONELYSNIPER",291313,13468,32457,4525,204,625,312,271,684,1129800,721678,4142
"RELANSCARLET",289403,19234,52479,1717,541,359,454,829,149,1144900,607954,1160
"R.X",288981,19371,49351,4951,206,389,495,223,797,1834800,829432,6208
"SETSUNA KURAZAKI",287594,9677,31912,675,496,1173,1304,162,866,691500,180457,4837
"MR. HOPS",286244,22513,63008,13460,162,388,455,210,788,2048800,1221651,7414
"LEWD LOLI",284959,7162,36293,229,794,450,332,351,306,561100,165294,1548
"DYALOT",284588,7398,17796,2892,158,588,178,124,528,777300,281277,2236
"AABBWHY",283600,19231,58766,5992,1023,717,902,48,1275,1479900,387910,3361
"SONICG52",282937,16189,52750,4112,370,238,175,241,320,1007700,956409,2589
"FENIX3",280938,8212,32315,1231,319,357,482,113,563,630800,248791,1861
"C417632069",280778,18717,39383,3790,404,1115,425,38,1170,2037000,598034,3164
"JHONNY NIDEB",280544,13241,28128,3050,370,508,678,385,823,1064700,354079,4873
"BUMWORMZ",280034,25221,45525,6514,302,388,471,204,690,1499500,1120285,3009
"MOOMOOMOO",278090,15614,61131,10464,168,348,425,111,622,1335900,942023,5989
"VCC",277234,14834,41397,3727,250,376,240,61,890,1140700,791338,3277
"XIANDER",276381,14127,46691,2972,554,212,118,56,483,946300,1001222,1033
"PRIVATE JF",275934,2787,14720,192,777,256,205,78,222,202900,63106,463
"ZUKKIE",274837,22497,47283,7269,187,514,557,276,1375,1468000,875663,7096
"KEMENZ",273414,11648,43876,1918,229,333,367,320,651,1063400,965909,2440
"TIRED SLOTH",272183,13131,37207,771,385,582,414,282,515,893300,612807,1033
"PABBATT BLUE",272077,16321,34328,2293,1337,288,204,270,798,1170300,750649,1553
"RADE",271247,20278,52797,6029,310,467,518,316,632,1240400,776988,5687
"CH4K4N",270824,12940,45081,1447,907,497,409,278,606,914300,958057,1751
"TRYHARDNOOB",270673,3154,17522,56,630,262,197,35,189,276000,127033,520
"COMPUTER RAGE",270311,6300,22740,276,335,584,654,56,376,416800,160323,2780
"SGT.JAYNIMROD",268709,16090,36991,2880,254,323,225,191,756,1603300,631643,3843
"11QQ",267904,17837,30390,4577,265,736,709,71,2152,1499100,600887,3603
"OLDMANPUSHTHECAR",267661,9925,26139,2729,239,410,215,163,581,1011300,181317,5427
"PIRX",267434,21230,63056,7899,247,595,827,33,589,1788200,1261677,2687
"JONESY22",267033,21255,58814,6268,212,169,321,200,688,1058100,928241,2332
"WALTARRON",266908,44550,41341,4827,328,823,498,357,1285,2103400,1103939,4674
"DAVIN",262029,24651,29548,2154,258,1551,1446,58,3785,1939300,369602,6649
"GIBBS",261906,10257,31643,4441,223,398,346,163,503,721000,804045,2352
"AZERIU",257887,14730,38439,3652,522,174,108,235,460,898400,381342,3031
"ALISTER",257199,26024,57783,13100,157,197,273,75,713,2097600,954023,8834
"JOHNAVERAGE",257182,14967,46887,3024,253,284,163,320,353,996700,784625,4087
"GHOSTRONINBOOM",255540,11122,28636,4798,279,457,305,50,523,812300,335895,3959
"SHIN[]BI",255251,13835,29130,605,405,286,152,170,804,781400,241878,810
"NEFERPITOU",254948,6130,26243,196,1058,231,97,155,134,488300,185009,735
"XEROV",254912,21533,38299,4044,181,545,390,217,689,1789600,1130447,2698
"MOIST CLAIM MEAT",254738,5855,25169,838,326,438,330,86,300,437600,317617,2371
